Airline,Route,sentiment_score
Qatar Airways,Doha to Denpasar,0.9451
Qatar Airways,Doha to Dhaka,0.9534
Qatar Airways,Doha to Dubai,-0.4692
Qatar Airways,Doha to Durban,-0.8406
Qatar Airways,Doha to Edinburgh,0.9709
Qatar Airways,Doha to Entebbe,-0.9649
Qatar Airways,Doha to Frankfurt,0.9937
Qatar Airways,Doha to Frankfurt,0.8955
Qatar Airways,Doha to Frankfurt,0.6232
Qatar Airways,Doha to Frankfurt,0.9169
Qatar Airways,Doha to Gatwick,-0.5604
Qatar Airways,Doha to Gatwick,0.1786
Qatar Airways,Doha to Gatwick,0.2902
Qatar Airways,Doha to Geneva,0.3197
Qatar Airways,Doha to Goa,0.7921
Qatar Airways,Doha to Goa,0.9792
Qatar Airways,Doha to Guangzhou,-0.7876
Qatar Airways,Doha to Hanoi,0.8227
Qatar Airways,Doha to Ho Chi Minh City,0.9298
Qatar Airways,Doha to Hong Kong,-0.296
Qatar Airways,Doha to Hong Kong,0.8178
Qatar Airways,Doha to Hong Kong,0.9501
Qatar Airways,Doha to Hong Kong,0.9882
Qatar Airways,Doha to Hong Kong,0.7767
Qatar Airways,Doha to Hong Kong,-0.7408
Qatar Airways,Doha to Houston,0.8779
Qatar Airways,Doha to Islamabad,0.6196
Qatar Airways,Doha to Istanbul,-0.8807
Qatar Airways,Doha to Jakarta,0.7035
Qatar Airways,Doha to Johannesburg,0.9535
Qatar Airways,Doha to Johannesburg,0.6115
Qatar Airways,Doha to Johannesburg,0.6573
Qatar Airways,Doha to Johannesburg,-0.8519
Qatar Airways,Doha to Johannesburg,0.979
Qatar Airways,Doha to Karachi,0.1989
Qatar Airways,Doha to Karachi,0.3612
Qatar Airways,Doha to Kathmandu,0.5423
Qatar Airways,Doha to Keflavik via Copenhagen,0.25
Qatar Airways,Doha to Kiev,0.3732
Qatar Airways,Doha to Kigali,-0.9327
Qatar Airways,Doha to Kochi,-0.1655
Qatar Airways,Doha to Kolkata,0.9871
Qatar Airways,Doha to Kolkata,0.9744
Qatar Airways,Doha to Kolkata,0.9198
Qatar Airways,Doha to Kuala Lumpur,0.959
Qatar Airways,Doha to Kuala Lumpur,0.9312
Qatar Airways,Doha to Kuala Lumpur,0.9624
Qatar Airways,Doha to Kuwait,0.9201
Qatar Airways,Doha to Kuwait,0.8817
Qatar Airways,Doha to London,0.9466
Qatar Airways,Doha to London,0.9601
Qatar Airways,Doha to London,0.9797
Qatar Airways,Doha to London,0.9897
Qatar Airways,Doha to London,0.9111
Qatar Airways,Doha to London,0.9915
Qatar Airways,Doha to London,0.9774
Qatar Airways,Doha to London,0.9001
Qatar Airways,Doha to London,0.9382
Qatar Airways,Doha to London,-0.7003
Qatar Airways,Doha to London,0.9844
Qatar Airways,Doha to London,-0.3273
Qatar Airways,Doha to London Heathrow,0.9839
Qatar Airways,Doha to London Heathrow,0.9936
Qatar Airways,Doha to London Heathrow,0.9824
Qatar Airways,Doha to London Heathrow,0.5342
Qatar Airways,Doha to Los Angeles,0.8807
Qatar Airways,Doha to Los Angeles,0.5106
Qatar Airways,Doha to Los Angeles,0.8585
Qatar Airways,Doha to Madrid,0.9581
Qatar Airways,Doha to Male,-0.8614
Qatar Airways,Doha to Male,0.9807
Qatar Airways,Doha to Male,0.4404
Qatar Airways,Doha to Manchester,0.9833
Qatar Airways,Doha to Manchester,0.9981
Qatar Airways,Doha to Manila,-0.7003
Qatar Airways,Doha to Manila,0.9984
Qatar Airways,Doha to Manila,0.9919
Qatar Airways,Doha to Medina,0.97
Qatar Airways,Doha to Melbourne,0.0018
Qatar Airways,Doha to Melbourne,0.8668
Qatar Airways,Doha to Miami,0.915
Qatar Airways,Doha to Miami,-0.9711
Qatar Airways,Doha to Miami,0.9727
Qatar Airways,Doha to Milan,0.9833
Qatar Airways,Doha to Milan,0.9179
Turkish Airlines,Doha to Milan via Istanbul,-0.9836
Qatar Airways,Doha to Montreal,0.9153
Qatar Airways,Doha to Montreal,0.9871
Qatar Airways,Doha to Montreal,0.9482
Qatar Airways,Doha to Montreal,0.1615
Qatar Airways,Doha to Mumbai,0.899
Qatar Airways,Doha to Mumbai,0.9875
Qatar Airways,Doha to Munich,0.9964
Qatar Airways,Doha to Munich,0.9786
Qatar Airways,Doha to Munich,0.977
Turkish Airlines,Doha to Munich via Istanbul,-0.9451
Qatar Airways,Doha to Muscat,0.9781
Qatar Airways,Doha to Nairobi,0.9169
Qatar Airways,Doha to New York,0.5526
Qatar Airways,Doha to New York,0.8875
Qatar Airways,Doha to New York,0.9893
Qatar Airways,Doha to New York,0.8687
Qatar Airways,Doha to New York JFK,0.6691
Qatar Airways,Doha to New York JFK,0.9778
Qatar Airways,Doha to New York JFK,0.9748
Qatar Airways,Doha to Ord,-0.4753
Qatar Airways,Doha to Oslo,0.2069
Qatar Airways,Doha to Oslo,0.9531
Qatar Airways,Doha to Paris,0.9948
Qatar Airways,Doha to Paris,0.4118
Qatar Airways,Doha to Paris CDG,0.879
Qatar Airways,Doha to Perth,0.918
Qatar Airways,Doha to Perth,-0.9409
Qatar Airways,Doha to Perth,-0.7096
Qatar Airways,Doha to Perth,0.9701
Qatar Airways,Doha to Perth,-0.9952
Qatar Airways,Doha to Philadelphia,0.9506
Qatar Airways,Doha to Philadelphia,0.9854
Qatar Airways,Doha to Phuket,0.9672
Qatar Airways,Doha to Phuket,0.1749
Qatar Airways,Doha to Phuket,0.0627
Qatar Airways,Doha to Phuket,0.8555
Qatar Airways,Doha to Phuket,0.0
Turkish Airlines,Doha to Porto via Istanbul,-0.6082
Qatar Airways,Doha to Riyadh,0.6729
Qatar Airways,Doha to Riyadh,0.9924
Qatar Airways,Doha to San Francisco,0.9432
Qatar Airways,Doha to San Francisco,0.9666
Qatar Airways,Doha to San Francisco,0.659
Qatar Airways,Doha to Sao Paulo,0.7952
Qatar Airways,Doha to Sao Paulo GRU via London,0.9831
Qatar Airways,Doha to Seattle,0.9782
Qatar Airways,Doha to Singapore,-0.9382
Qatar Airways,Doha to Singapore,-0.9883
Qatar Airways,Doha to Singapore,0.9272
Qatar Airways,Doha to Singapore,0.9109
Qatar Airways,Doha to Stockholm,0.9538
Qatar Airways,Doha to Stockholm,0.9633
Qatar Airways,Doha to Sydney,0.9638
Qatar Airways,Doha to Sydney,0.9744
Qatar Airways,Doha to Sydney,0.8834
Qatar Airways,Doha to Sydney,-0.25
Qatar Airways,Doha to Sydney,0.9777
Qatar Airways,Doha to Sydney,0.8807
Qatar Airways,Doha to Sydney,0.9559
Qatar Airways,Doha to Tokyo,0.9705
Qatar Airways,Doha to Warsaw,0.9408
Qatar Airways,Doha to Washington,0.955
Qatar Airways,Doha to Washington,0.7783
Qatar Airways,Doha to Washington,0.3586
Qatar Airways,Doha to Yangon,0.9506
Turkish Airlines,Douala to Dallas via Istanbul,-0.7404
Turkish Airlines,Douala to Houston via Istanbul,-0.2622
Emirates,Dubai to  Bangkok,0.9299
Emirates,Dubai to  Gatwick,0.8218
Emirates,Dubai to Algiers,-0.8879
Emirates,Dubai to Algiers,-0.9497
Turkish Airlines,Dubai to Algiers via Istanbul,-0.9941
Emirates,Dubai to Amman,0.8952
Emirates,Dubai to Amman,-0.6486
Emirates,Dubai to Amman,0.6158
Qatar Airways,Dubai to Amritsar via Doha,0.2658
Emirates,Dubai to Amsterdam,-0.8445
Turkish Airlines,Dubai to Amsterdam via Istanbul,-0.8825
Emirates,Dubai to Athens,-0.8422
Qatar Airways,Dubai to Athens via Doha,0.957
Emirates,Dubai to Bahrain,0.9246
Cathay Pacific Airways,Dubai to Bahrain,0.9099
Emirates,Dubai to Bali,-0.5259
Emirates,Dubai to Bangalore,-0.8971
Emirates,Dubai to Bangkok,0.9869
Emirates,Dubai to Bangkok,0.652
Emirates,Dubai to Bangkok,-0.9858
Emirates,Dubai to Bangkok,-0.631
Singapore Airlines,Dubai to Bangkok via Singapore,-0.9694
Emirates,Dubai to Beijing,-0.6785
Emirates,Dubai to Birmingham,-0.9535
Emirates,Dubai to Birmingham,-0.9278
Emirates,Dubai to Boston,0.9076
Emirates,Dubai to Brisbane,-0.9124
Emirates,Dubai to Brisbane,-0.9844
Emirates,Dubai to Brisbane,-0.1531
Emirates,Dubai to Brisbane,0.9152
Emirates,Dubai to Brisbane,0.4594
Emirates,Dubai to Brisbane,-0.7482
Cathay Pacific Airways,Dubai to Brisbane via Hong Kong,0.9815
Emirates,Dubai to Brussels,-0.9315
Turkish Airlines,Dubai to Budapest via Istanbul,-0.9636
Emirates,Dubai to Cairo,-0.8994
Emirates,Dubai to Cairo,0.1027
Emirates,Dubai to Cairo,0.3291
Emirates,Dubai to Cairo,-0.9191
Emirates,Dubai to Cairo,-0.8532
Emirates,Dubai to Cairo,-0.9668
Emirates,Dubai to Cape Town,0.9657
Emirates,Dubai to Cape Town,0.7351
Emirates,Dubai to Casablanca,-0.5859
Turkish Airlines,Dubai to Casablanca via Istanbul,-0.968
Emirates,Dubai to Chicago,-0.8546
Emirates,Dubai to Chicago,-0.8226
Emirates,Dubai to Chicago,-0.7723
Emirates,Dubai to Chicago,-0.9571
Turkish Airlines,Dubai to Chisinau via Istanbul,0.5346
Qatar Airways,Dubai to Chongqing via Dubai,0.1927
Emirates,Dubai to Clark,0.959
Emirates,Dubai to Cochin,-0.7137
Emirates,Dubai to Colombo,0.1531
Emirates,Dubai to Colombo,-0.93
Emirates,Dubai to Colombo,0.0018
Emirates,Dubai to Dallas Fort Worth,-0.9464
Emirates,Dubai to Delhi,0.9255
Emirates,Dubai to Delhi,-0.7803
Emirates,Dubai to Delhi,-0.4767
Emirates,Dubai to Delhi,0.899
Qatar Airways,Dubai to Delhi via Doha,0.8628
Emirates,Dubai to Denpasar,0.7903
Emirates,Dubai to Denpasar,0.8402
Qatar Airways,Dubai to Doha,0.945
Qatar Airways,Dubai to Doha,0.9752
Qatar Airways,Dubai to Doha via Brussels,0.9769
Emirates,Dubai to Dublin,0.9335
Emirates,Dubai to Dublin,0.9729
Emirates,Dubai to Durban,0.9534
Emirates,Dubai to Dusseldorf,0.0
Emirates,Dubai to Düsseldorf,-0.7186
Emirates,Dubai to Düsseldorf,0.9764
Qatar Airways,Dubai to Frankfurt via Doha,0.9718
Qatar Airways,Dubai to Gatwick via Doha,0.5528
Air France,Dubai to Gothenburg via Paris,0.9657
Emirates,Dubai to Guangzhou,-0.8126
Emirates,Dubai to Hamburg,0.9853
Emirates,Dubai to Hamburg,-0.9349
Emirates,Dubai to Hanoi,0.2042
Turkish Airlines,Dubai to Hanover via Istanbul,-0.5511
Emirates,Dubai to Heathrow,-0.892
Turkish Airlines,Dubai to Heathrow via Istanbul,-0.8173
Emirates,Dubai to Ho Chi Minh,0.7268
Emirates,Dubai to Ho Chi Minh City,0.9803
Emirates,Dubai to Ho chi Minh City,-0.9379
Emirates,Dubai to Hong Kong,-0.8453
Cathay Pacific Airways,Dubai to Hong Kong,0.951
Cathay Pacific Airways,Dubai to Hong Kong,0.9883
Emirates,Dubai to Hong Kong,-0.97
Emirates,Dubai to Houston,0.2904
Emirates,Dubai to Houston,-0.9817
Emirates,Dubai to Houston,-0.8985
Emirates,Dubai to Houston,-0.012
Emirates,Dubai to Houston,-0.4019
Emirates,Dubai to Houston,0.1779
Qatar Airways,Dubai to Houston via Doha,0.9053
Turkish Airlines,Dubai to Houston via Istanbul,-0.9658
Emirates,Dubai to Hyderabad,-0.8897
Emirates,Dubai to Islamabad,-0.8468
Emirates,Dubai to Islamabad,0.8225
Emirates,Dubai to Istanbul,0.5023
Turkish Airlines,Dubai to Istanbul,-0.9565
Turkish Airlines,Dubai to Istanbul,0.6687
Turkish Airlines,Dubai to Istanbul via Atlanta,-0.8295
Emirates,Dubai to Jakarta,-0.93
Singapore Airlines,Dubai to Jakarta via Singapore,0.987
Emirates,Dubai to Johannesburg,0.9775
Emirates,Dubai to Johannesburg,-0.4956
Emirates,Dubai to Johannesburg,0.0387
Emirates,Dubai to Karachi,-0.9831
Emirates,Dubai to Kochi,0.8254
Emirates,Dubai to Kolkata,0.8126
Emirates,Dubai to Kuala Lumpur,0.9886
Emirates,Dubai to Kuala Lumpur,-0.9942
Singapore Airlines,Dubai to Kuala Lumpur via Singapore,0.9786
Emirates,Dubai to Kuwait,-0.1183
Emirates,Dubai to Kuwait,-0.3318
Emirates,Dubai to Kuwait,-0.9958
Emirates,Dubai to Lagos,0.9421
Turkish Airlines,Dubai to Lagos via Istanbul,-0.296
Emirates,Dubai to Lisbon,-0.902
Emirates,Dubai to Lisbon,-0.9741
Emirates,Dubai to Lisbon,0.0849
Emirates,Dubai to Lisbon,-0.9704
Turkish Airlines,Dubai to Lisbon via Istanbul,-0.714
Emirates,Dubai to Lisbon via Lagoa,-0.631
Emirates,Dubai to London,-0.5733
Emirates,Dubai to London,-0.6791
Emirates,Dubai to London,-0.9829
Emirates,Dubai to London,-0.2521
Emirates,Dubai to London,-0.2894
Emirates,Dubai to London,-0.9847
Emirates,Dubai to London,-0.9486
Emirates,Dubai to London,-0.7727
Emirates,Dubai to London,-0.8911
Emirates,Dubai to London,0.9562
Emirates,Dubai to London,-0.0772
Emirates,Dubai to London Heathrow,-0.6908
Emirates,Dubai to London Heathrow,-0.1308
Emirates,Dubai to London Heathrow,-0.9716
Emirates,Dubai to London Heathrow,0.9442
Emirates,Dubai to London Heathrow,0.951
Emirates,Dubai to London Heathrow,0.9349
Air France,Dubai to London Heathrow via Paris CDG,-0.9823
Emirates,Dubai to Los Angeles,0.9041
Emirates,Dubai to Los Angeles,-0.3827
Turkish Airlines,Dubai to Madrid via Istanbul,-0.7945
Turkish Airlines,Dubai to Madrid via Istanbul,0.9276
Turkish Airlines,Dubai to Malaga via Istanbul,-0.7147
Emirates,Dubai to Manchester,-0.854
Emirates,Dubai to Manchester,0.4889
Emirates,Dubai to Manchester,0.9788
Emirates,Dubai to Manchester,0.7475
Emirates,Dubai to Manchester,0.2263
Emirates,Dubai to Manchester,0.9402
Emirates,Dubai to Manchester,0.7994
Emirates,Dubai to Manchester,-0.7003
Emirates,Dubai to Manchester,-0.7175
Emirates,Dubai to Manchester,0.8346
Emirates,Dubai to Manchester,-0.8402
Emirates,Dubai to Manchester,0.4404
Emirates,Dubai to Manchester,0.9078
Emirates,Dubai to Manchester,0.9617
Emirates,Dubai to Manila,0.1352
Emirates,Dubai to Manila,0.6391
Emirates,Dubai to Manila,0.9694
Emirates,Dubai to Manila,0.9785
Emirates,Dubai to Manila,0.893
Cathay Pacific Airways,Dubai to Manila via Hong Kong,0.9868
Cathay Pacific Airways,Dubai to Manila via Hong Kong,0.9377
Cathay Pacific Airways,Dubai to Manila via Hong Kong,0.9673
Singapore Airlines,Dubai to Manila via Singapore,-0.8839
Emirates,Dubai to Mauritius,-0.9661
Emirates,Dubai to Mauritius,0.6454
Emirates,Dubai to Mauritius,0.4723
Emirates,Dubai to Mauritius,-0.6609
Emirates,Dubai to Melbourne,0.9413
Emirates,Dubai to Melbourne via Singapore,-0.1576
Qatar Airways,Dubai to Miami via Doha,0.9873
Turkish Airlines,Dubai to Miami via Istanbul,-0.4019
Emirates,Dubai to Milan,0.8952
Emirates,Dubai to Milan,-0.9523
Emirates,Dubai to Montreal,-0.7506
Qatar Airways,Dubai to Montreal,0.9419
Qatar Airways,Dubai to Montreal via Doha,-0.886
Air France,Dubai to Montreal via Paris CDG,0.9434
Emirates,Dubai to Moscow,-0.7452
Emirates,Dubai to Moscow,-0.8742
Emirates,Dubai to Mumbai,-0.9225
Emirates,Dubai to Mumbai,-0.9191
Emirates,Dubai to Mumbai,-0.6324
Emirates,Dubai to Munich,0.9774
Emirates,Dubai to Nairobi,-0.9205
Emirates,Dubai to Nairobi,-0.6486
Emirates,Dubai to Nairobi,-0.9093
Emirates,Dubai to Nairobi via Entebbe,0.9785
Emirates,Dubai to New York,-0.9508
Emirates,Dubai to New York,-0.5402
Emirates,Dubai to New York,0.5719
Emirates,Dubai to New York JFK,0.9728
Emirates,Dubai to New York JFK,-0.8215
Emirates,Dubai to New York JFK,-0.4854
Emirates,Dubai to New York JFK,-0.8561
Emirates,Dubai to New York JFK,-0.9022
Emirates,Dubai to Newcastle,-0.6908
Emirates,Dubai to Newcastle,-0.8483
Turkish Airlines,Dubai to Nouakchott via Istanbul,-0.7615
Emirates,Dubai to Osaka Kansai,-0.1238
Turkish Airlines,Dubai to Oslo via Istanbul,-0.705
Emirates,Dubai to Paris,-0.9777
Air France,Dubai to Paris,0.98
Emirates,Dubai to Paris,0.8481
Air France,Dubai to Paris,0.9766
Emirates,Dubai to Paris,-0.5198
Air France,Dubai to Paris,-0.6159
Emirates,Dubai to Paris,-0.9624
Air France,Dubai to Paris,-0.8584
Emirates,Dubai to Paris,-0.3528
Air France,Dubai to Paris CDG,-0.3197
Turkish Airlines,Dubai to Paris via Istanbul,-0.0516
Singapore Airlines,Dubai to Penang via Singapore,-0.4903
Emirates,Dubai to Perth,0.9249
Emirates,Dubai to Perth,-0.4404
Emirates,Dubai to Phnom Penh via Bangkok,0.9771
Emirates,Dubai to Prague,0.0258
Air France,Dubai to Prague via Paris,-0.2732
Emirates,Dubai to Queenstown via Melbourne,-0.9769
Emirates,Dubai to Rome,0.9748
Emirates,Dubai to Rome,0.8176
Cathay Pacific Airways,Dubai to Saigon via Hong Kong,0.985
Emirates,Dubai to San Francisco,0.975
Qatar Airways,Dubai to San Francisco via Doha,0.9752
Turkish Airlines,Dubai to San Francisco via Istanbul,-0.4588
Emirates,Dubai to Sao Paulo,-0.7661
Emirates,Dubai to Seattle,-0.9374
Emirates,Dubai to Seoul,0.8274
Emirates,Dubai to Seoul Incheon,0.9051
Singapore Airlines,Dubai to Seoul via Singapore,0.9811
Singapore Airlines,Dubai to Singapore,0.4977
Emirates,Dubai to Singapore,0.965
Emirates,Dubai to Singapore,-0.9874
Emirates,Dubai to Singapore,0.5714
Singapore Airlines,Dubai to Singapore,0.9593
Emirates,Dubai to Singapore,0.9781
Emirates,Dubai to Singapore,0.867
Singapore Airlines,Dubai to Singapore,0.2427
Emirates,Dubai to Singapore,0.6034
Emirates,Dubai to Singapore,0.9839
Emirates,Dubai to Singapore,-0.9509
Emirates,Dubai to Singapore,-0.8718
Emirates,Dubai to Singapore,0.9873
Qatar Airways,Dubai to Singapore via Doha,0.9816
Turkish Airlines,Dubai to Skopje via Istanbul,-0.6927
Air France,Dubai to Southampton via Paris CDG,-0.8402
Emirates,Dubai to St.Petersburg,-0.9249
Emirates,Dubai to Stockholm,0.749
Emirates,Dubai to Stockholm,-0.5439
Air France,Dubai to Stockholm via Paris,0.4191
Emirates,Dubai to Sydney,-0.5994
Emirates,Dubai to Sydney,-0.9587
Emirates,Dubai to Sydney,0.0
Emirates,Dubai to Sydney via Bangkok,-0.551
Emirates,Dubai to Taipei,-0.8056
Emirates,Dubai to Taipei,-0.9228
Korean Air,Dubai to Taipei,-0.9397
Emirates,Dubai to Tehran,0.9063
Emirates,Dubai to Tel Aviv,0.3832
Emirates,Dubai to Tel Aviv,0.8872
Turkish Airlines,Dubai to Thessaloniki via Istanbul,-0.9295
Emirates,Dubai to Tokyo,-0.6697
Qatar Airways,Dubai to Tokyo via Doha,0.9674
Emirates,Dubai to Toronto,-0.9732
Emirates,Dubai to Toronto,0.9412
Emirates,Dubai to Toronto,-0.5256
Emirates,Dubai to Toronto,0.3167
Emirates,Dubai to Toronto,-0.6801
Turkish Airlines,Dubai to Toronto via Istanbul,0.9902
Emirates,Dubai to Tunis,0.9932
Emirates,Dubai to Venice,0.9676
Emirates,Dubai to Vienna,-0.3047
Emirates,Dubai to Vienna,-0.7717
Emirates,Dubai to Warsaw,0.9507
Emirates,Dubai to Washington,0.957
Emirates,Dubai to Zurich,-0.802
Emirates,Dubai to Zurich,-0.8519
Qatar Airways,Dublin to Auckland via Doha,0.8004
Qatar Airways,Dublin to Bangkok via Doha,0.8994
Qatar Airways,Dublin to Bangkok via Doha,-0.7579
Emirates,Dublin to Bangkok via Dubai,0.8817
Cathay Pacific Airways,Dublin to Brisbane via Hong Kong,0.979
Turkish Airlines,Dublin to Cape Town,-0.8176
Turkish Airlines,Dublin to Cape Town via Istanbul,-0.9681
Qatar Airways,Dublin to Denpasar via Doha,0.9752
Emirates,Dublin to Denpasar via Dubai,0.9665
Turkish Airlines,Dublin to Dhaka via Istanbul,0.9648
Qatar Airways,Dublin to Doha,0.4019
Qatar Airways,Dublin to Doha,0.7351
Emirates,Dublin to Dubai,-0.9542
Qatar Airways,Dublin to Dubai via Doha,-0.8496
Turkish Airlines,Dublin to Dubai via Istanbul,-0.8403
Cathay Pacific Airways,Dublin to Hong Kong,0.9904
Turkish Airlines,Dublin to Istanbul,0.8861
Turkish Airlines,Dublin to Istanbul,0.0516
Turkish Airlines,Dublin to Istanbul,-0.6198
Turkish Airlines,Dublin to Izmir via Istanbul,-0.2382
Qatar Airways,Dublin to Kuala Lumpur via Doha,0.9615
Emirates,Dublin to Kuala Lumpur via Dubai,0.813
Turkish Airlines,Dublin to Manila via Istanbul,0.796
Qatar Airways,Dublin to Melbourne via Doha,0.8535
Qatar Airways,Dublin to Nairobi via Doha,0.9409
Turkish Airlines,Dublin to Nur-Sultan via Istanbul,-0.9811
Air France,Dublin to Paris,-0.1646
Air France,Dublin to Paris CDG,-0.9804
Air France,Dublin to Paris CDG,-0.3901
Air France,Dublin to Paris CDG,0.7964
Air France,Dublin to Paris CDG,0.8352
Qatar Airways,Dublin to Perth via Doha,0.9896
Turkish Airlines,Dublin to Phuket via Istanbul,-0.9734
Air France,Dublin to Sao Paulo via Paris CDG,0.9716
Emirates,Dublin to Singapore via Dubai,0.9804
Air France,Dublin to Singapore via Paris CDG,0.8519
Qatar Airways,Dublin to Sydney via Doha,0.9874
Turkish Airlines,Dublin to Tel Aviv via Istanbul,0.3415
Turkish Airlines,Dublin to Tel Aviv via İstanbul,-0.8185
Qatar Airways,Dublin to Tokyo via Doha,0.9684
Emirates,Dublin to Tokyo via Dubai,0.5492
Turkish Airlines,Dublin to Tokyo via Istanbul,0.8476
Turkish Airlines,Dubrovnik to Kuala Lumpur via Istanbul,0.1796
Emirates,Dubrovnik to Tokyo Narita via Dubai,0.2455
Emirates,Durban to Athens via Dubai,-0.3506
Turkish Airlines,Durban to Houston via Istanbul,-0.9656
Emirates,Durban to London Gatwick via Dubai,0.0633
Qatar Airways,Durban to Stockholm via Doha,0.9976
Turkish Airlines,Dushanbe to Istanbul,0.9866
Turkish Airlines,Dusseldorf to Ankara,-0.8591
Emirates,Dusseldorf to Bangkok via Dubai,-0.8481
Qatar Airways,Dusseldorf to Doha,0.3074
Singapore Airlines,Dusseldorf to Hanoi via Singapore,0.8595
Cathay Pacific Airways,Dusseldorf to Hong Kong,-0.1779
Cathay Pacific Airways,Dusseldorf to Hong Kong,0.9091
Turkish Airlines,Dusseldorf to Iistanbul,-0.8858
Turkish Airlines,Dusseldorf to Istanbul,-0.9809
Turkish Airlines,Dusseldorf to Istanbul,0.9251
Turkish Airlines,Dusseldorf to Istanbul via Seychelles,0.9636
Qatar Airways,Dusseldorf to Kilimanjaro via Doha,0.9694
Air France,Dusseldorf to Miami via Paris,0.9374
Turkish Airlines,Dusseldorf to Mumbai via Istanbul,-0.98
Air France,Dusseldorf to NDjamena via Paris,-0.7359
Air France,Dusseldorf to Paris,0.6705
Turkish Airlines,Dusseldorf to Riyadh via Istanbul,-0.9553
Emirates,Dusseldorf to Shanghai via Dubai,0.8847
Singapore Airlines,Dusseldorf to Singapore,-0.7765
Singapore Airlines,Dusseldorf to Singapore,0.9951
Qatar Airways,Düsseldorf to Bangkok via Doha,0.5023
Emirates,Düsseldorf to Dubai,0.995
Turkish Airlines,Düsseldorf to Istanbul,-0.6652
Turkish Airlines,Düsseldorf to Kathmandu via Istanbul,0.8209
Emirates,Düsseldorf to Manila via Dubai,0.9531
Air France,Düsseldorf to Paris CDG,0.9516
Turkish Airlines,EDI to CPT via IST,-0.9673
Qatar Airways,EDI to HKG via DOH,0.9557
Turkish Airlines,EDI to KIX via IST,0.8952
Qatar Airways,EDI to KUL via DOH,0.9732
Qatar Airways,EDI to MLE via DOH,0.677
Turkish Airlines,EDI to MRU via IST,0.9776
Turkish Airlines,ESB to IST,-0.7677
Turkish Airlines,EZE to IST,0.9883
Qatar Airways,EZE to SIN via DOH,0.8555
Qatar Airways,Edinburgh to Bangkok via Doha,0.963
Qatar Airways,Edinburgh to Bangkok via Doha,0.9908
Qatar Airways,Edinburgh to Bangkok via Doha,0.933
Qatar Airways,Edinburgh to Bangkok via Doha,0.9505
Qatar Airways,Edinburgh to Brisbane via Doha / Perth,0.9687
Emirates,Edinburgh to Brisbane via Dubai,-0.6801
Qatar Airways,Edinburgh to Doha,0.9373
Turkish Airlines,Edinburgh to Istanbul,-0.8435
Turkish Airlines,Edinburgh to Istanbul,0.4215
Qatar Airways,Edinburgh to Lahore via Doha,0.9795
Qatar Airways,Edinburgh to Melbourne Australia via Doha,0.3086
Qatar Airways,Edinburgh to Muscat via Doha,0.9784
Qatar Airways,Edinburgh to Muscat via Doha,0.9964
Air France,Edinburgh to Paris,0.9678
Qatar Airways,Edinburgh to Perth via Doha,0.9389
Qatar Airways,Edinburgh to Perth via Doha,0.7715
Qatar Airways,Edinburgh to Phuket via Doha,0.9701
Emirates,Edinburgh to Singapore via Dubai,0.9847
Turkish Airlines,Edinburgh to Singapore via Istanbul,-0.7217
Turkish Airlines,Edinburgh to Thessaloniki via Istanbul,0.9136
Turkish Airlines,Edinburgh to İstanbul,-0.9078
EVA Air,Edmonton to Cebu via Taipei,0.1621
Cathay Pacific Airways,Edmonton to Manila via Hong Kong,-0.6583
Cathay Pacific Airways,Edmonton to Perth,-0.9125
Emirates,Entebbe to Dubai,0.8847
Qatar Airways,Entebbe to London via Doha,-0.778
Qatar Airways,Entebbe to Madrid via Doha,0.7628
Qatar Airways,Entebbe to Vienna via Doha,-0.9152
Turkish Airlines,Entebbe to Washington via Istanbul,-0.6597
Qatar Airways,Erbil to Frankfurt via Doha,0.967
Qatar Airways,Erbil to Kilimanjaro via Doha,-0.706
Qatar Airways,Erbil to Los Angeles via Doha,0.9635
Qatar Airways,Erbil to Seattle via Doha,0.9565
Turkish Airlines,Ercan to Zurich via Istanbul,-0.9051
Emirates,FCO to BKK via DXB,0.9477
Turkish Airlines,FCO to CPT via IST,0.9774
Turkish Airlines,FCO to CPT via IST,0.9616
Air France,FCO to GIG via CDG,0.8126
Turkish Airlines,FCO to KRT via IST,-0.162
Emirates,FCO to MEL via DXB,0.9538
Singapore Airlines,FCO to MEL via SIN,0.9221
Emirates,FCO to TPE via DXB,-0.9428
Air France,FLR to LAX via CDG,0.9788
Qatar Airways,FRA to BKK via DOH,0.3741
Emirates,FRA to BOM via DXB,-0.9637
Turkish Airlines,FRA to ESB,-0.741
All Nippon Airways,FRA to HND,0.1298
Japan Airlines,FRA to ICN via HND,-0.5318
Singapore Airlines,FRA to SIN,0.8296
Singapore Airlines,FRA to SIN,0.9856
Turkish Airlines,Faisalabad to Singapore via Istanbul,-0.737
Korean Air,Fiji to London via Seoul,-0.8533
Air France,Firenze to Paris,-0.7003
Air France,Florence to Paris,0.9907
Air France,Florence to Paris,0.8834
Air France,Florence to Paris CDG,0.5859
Air France,Florence to St Petersburgh via Paris,-0.7783
Emirates,Fort Lauderdale to Bangalore via Dubai,-0.374
Emirates,Fort Lauderdale to Casablanca via Dubai,-0.9117
Air France,Fort de France to Amsterdam via Paris,-0.7136
Air France,Fort de France to Paris,0.4769
Air France,Fortaleza to Warsaw via Paris,-0.919
Qatar Airways,Franfurt to Salalah via Doha,0.9732
Singapore Airlines,Frankfurt to  New York,-0.9114
Qatar Airways,Frankfurt to Bangkok via Doha,0.296
